publication,date,headline,ideology_score,ideology_confidence,sentiment_score,sentiment_confidence,emotionality,topic_area,ideology_baseline,ideology_numeric,ideology_baseline_confidence,sentiment_pos,sentiment_neg,sentiment_neu,year,month,quarter
Fox News,2013-01-06,Energy Independence Sacrificed for Green New Deal (Updated),right,0.4175069696680004,0.2732,0.2732,0.2732,climate,right,1.0,0.4175069696680004,0.231,0.0,0.769,2013,2013-01,2013Q1
Washington Post,2013-01-06,Police Reform Measures Face Resistance in State Legislatures | Opinion,left,0.5657749561307589,0.0,0.0,0.0,crime,left,-1.0,0.5657749561307589,0.0,0.0,1.0,2013,2013-01,2013Q1
Fox News,2013-01-06,Cancel Culture Claims Another Victim,right,0.563311341568477,-0.4767,0.4767,0.4767,technology,right,1.0,0.563311341568477,0.0,0.577,0.423,2013,2013-01,2013Q1
Washington Post,2013-01-07,Wealth Gap Between Richest and Poorest Americans Hits Record,left,0.5207362933528115,0.4767,0.4767,0.4767,other,left,-1.0,0.5207362933528115,0.41,0.217,0.373,2013,2013-01,2013Q1
Fox News,2013-01-07,Cancel Culture Claims Another Victim,right,0.563311341568477,-0.4767,0.4767,0.4767,technology,right,1.0,0.563311341568477,0.0,0.577,0.423,2013,2013-01,2013Q1
Fox News,2013-01-07,Second Amendment Rights Under Attack by Democrats as Tensions Rise,left,0.4407578040781257,-0.7003,0.7003,0.7003,politics,left,-1.0,0.4407578040781257,0.0,0.42,0.58,2013,2013-01,2013Q1
Washington Post,2013-01-07,Education Gaps Widen as Pandemic Disrupts Learning Amid Growing Concerns,left,0.47854706884463355,0.1779,0.1779,0.1779,healthcare,left,-1.0,0.47854706884463355,0.159,0.0,0.841,2013,2013-01,2013Q1
CNN,2013-01-07,January 6 Committee Releases Damning Findings,right,0.5370440735036633,-0.34,0.34,0.34,other,right,1.0,0.5370440735036633,0.0,0.324,0.676,2013,2013-01,2013Q1
Fox News,2013-01-07,Second Amendment Rights Under Attack by Democrats,right,0.44133103259195494,-0.4767,0.4767,0.4767,politics,right,1.0,0.44133103259195494,0.0,0.341,0.659,2013,2013-01,2013Q1
New York Times,2013-01-07,Immigration Reform Remains Elusive Despite Bipartisan Support,left,0.5796443016137922,-0.3089,0.3089,0.3089,politics,left,-1.0,0.5796443016137922,0.0,0.273,0.727,2013,2013-01,2013Q1
CNN,2013-01-07,Gun Violence Epidemic Sparks Renewed Calls for Action,left,0.45208439481770346,-0.7579,0.7579,0.7579,crime,left,-1.0,0.45208439481770346,0.0,0.52,0.48,2013,2013-01,2013Q1
Washington Post,2013-01-08,Inside the Battle for the Future of the Republican Party Amid Growing Concerns,left,0.6727818269791422,0.2023,0.2023,0.2023,politics,left,-1.0,0.6727818269791422,0.259,0.153,0.588,2013,2013-01,2013Q1
New York Times,2013-01-08,Rural America Faces a Growing Healthcare Desert as Tensions Rise,left,0.46418281368318487,-0.25,0.25,0.25,healthcare,left,-1.0,0.46418281368318487,0.137,0.218,0.645,2013,2013-01,2013Q1
Fox News,2013-01-08,Second Amendment Rights Under Attack by Democrats (Updated),right,0.49380812385061407,-0.4767,0.4767,0.4767,politics,right,1.0,0.49380812385061407,0.0,0.307,0.693,2013,2013-01,2013Q1
CNN,2013-01-08,Infrastructure Bill Passes After Months of Negotiations Sources Say,left,0.8112487567891112,0.0,0.0,0.0,other,left,-1.0,0.8112487567891112,0.0,0.0,1.0,2013,2013-01,2013Q1
Fox News,2013-01-08,Biden's Border Crisis Reaches New Heights - Report,right,0.5256149570959276,-0.5994,0.5994,0.5994,politics,right,1.0,0.5256149570959276,0.106,0.363,0.531,2013,2013-01,2013Q1
Washington Post,2013-01-08,Investigation: Corporate Lobbying Undermines Environmental Rules Amid Growing Concerns,left,0.5352934806227044,-0.25,0.25,0.25,climate,left,-1.0,0.5352934806227044,0.149,0.325,0.526,2013,2013-01,2013Q1
CNN,2013-01-09,Tech Giants Face Antitrust Scrutiny Sources Say,left,0.5808774276597511,0.0,0.0,0.0,technology,left,-1.0,0.5808774276597511,0.0,0.0,1.0,2013,2013-01,2013Q1
New York Times,2013-01-09,Tech Giants Wield Unprecedented Power Over Public Discourse in Latest Development,right,0.5465951790845742,0.0,0.0,0.0,technology,right,1.0,0.5465951790845742,0.0,0.0,1.0,2013,2013-01,2013Q1
New York Times,2013-01-09,Inside the Growing Movement to Restrict Abortion Access | Opinion,left,0.758219097960003,-0.2263,0.2263,0.2263,social_issues,left,-1.0,0.758219097960003,0.138,0.211,0.65,2013,2013-01,2013Q1
Fox News,2013-01-09,Illegal Immigration Costs Taxpayers Billions,right,0.655824989803309,-0.5574,0.5574,0.5574,economy,right,1.0,0.655824989803309,0.0,0.474,0.526,2013,2013-01,2013Q1
New York Times,2013-01-10,Mental Health Crisis Among Young Americans Deepens as Tensions Rise,left,0.5354255377714506,-0.7783,0.7783,0.7783,healthcare,left,-1.0,0.5354255377714506,0.0,0.459,0.541,2013,2013-01,2013Q1
New York Times,2013-01-10,Rural America Faces a Growing Healthcare Desert Sources Say,left,0.6923077677140899,0.1779,0.1779,0.1779,healthcare,left,-1.0,0.6923077677140899,0.175,0.0,0.825,2013,2013-01,2013Q1
CNN,2013-01-10,Infrastructure Bill Passes After Months of Negotiations - Report,left,0.42042094418197606,0.0,0.0,0.0,other,left,-1.0,0.42042094418197606,0.0,0.0,1.0,2013,2013-01,2013Q1
Washington Post,2013-01-10,Inside the Battle for the Future of the Republican Party,left,0.7133277187780193,0.0258,0.0258,0.0258,politics,left,-1.0,0.7133277187780193,0.203,0.195,0.602,2013,2013-01,2013Q1
Fox News,2013-01-10,Americans Fed Up With Rising Gas Prices Under Biden (Updated),left,0.38308534079578266,0.0,0.0,0.0,politics,left,-1.0,0.38308534079578266,0.0,0.0,1.0,2013,2013-01,2013Q1
New York Times,2013-01-10,The Widening Political Divide: Can America Find Common Ground? (Updated),right,0.41681357549597814,0.0,0.0,0.0,politics,right,1.0,0.41681357549597814,0.0,0.0,1.0,2013,2013-01,2013Q1
CNN,2013-01-10,Biden Administration Announces New Climate Targets Sources Say,left,0.7477795965181979,0.0,0.0,0.0,politics,left,-1.0,0.7477795965181979,0.0,0.0,1.0,2013,2013-01,2013Q1
Washington Post,2013-01-11,Voting Rights Act Protections Weakened by Court Rulings (Updated),left,0.46605557768823835,-0.3182,0.3182,0.3182,social_issues,left,-1.0,0.46605557768823835,0.0,0.223,0.777,2013,2013-01,2013Q1
CNN,2013-01-11,COVID-19 Vaccine Rollout Faces Distribution Challenges | Opinion,right,0.5709341441105806,0.0772,0.0772,0.0772,healthcare,right,1.0,0.5709341441105806,0.157,0.0,0.843,2013,2013-01,2013Q1
New York Times,2013-01-11,The Struggle for Affordable Housing in America's Cities Sources Say,left,0.678164469846657,-0.3182,0.3182,0.3182,other,left,-1.0,0.678164469846657,0.0,0.204,0.796,2013,2013-01,2013Q1
New York Times,2013-01-11,Mental Health Crisis Among Young Americans Deepens in Latest Development,left,0.4565003477341993,-0.6249,0.6249,0.6249,healthcare,left,-1.0,0.4565003477341993,0.0,0.313,0.687,2013,2013-01,2013Q1
New York Times,2013-01-11,How Social Media Algorithms Fuel Political Polarization (Updated),right,0.5943203656888804,0.0,0.0,0.0,politics,right,1.0,0.5943203656888804,0.0,0.0,1.0,2013,2013-01,2013Q1
Washington Post,2013-01-12,The Quiet Crisis: How Climate Change Is Reshaping American Cities | Opinion,left,0.519127279491741,-0.6249,0.6249,0.6249,climate,left,-1.0,0.519127279491741,0.0,0.272,0.728,2013,2013-01,2013Q1
New York Times,2013-01-12,Investigating the Roots of the January 6 Capitol Breach | Opinion,right,0.5491763326507818,0.0,0.0,0.0,other,right,1.0,0.5491763326507818,0.0,0.0,1.0,2013,2013-01,2013Q1
Fox News,2013-01-12,Illegal Immigration Costs Taxpayers Billions Sources Say,left,0.46408219044776483,-0.5574,0.5574,0.5574,economy,left,-1.0,0.46408219044776483,0.0,0.375,0.625,2013,2013-01,2013Q1
Fox News,2013-01-12,Illegal Immigration Costs Taxpayers Billions (Updated),right,0.6828166919295715,-0.5574,0.5574,0.5574,economy,right,1.0,0.6828166919295715,0.0,0.419,0.581,2013,2013-01,2013Q1
CNN,2013-01-12,Democrats Push for Expanded Social Safety Net,left,0.49477586973596693,0.4215,0.4215,0.4215,politics,left,-1.0,0.49477586973596693,0.318,0.0,0.682,2013,2013-01,2013Q1
New York Times,2013-01-12,Global Supply Chain Disruptions Reshape the Economy - Report,center,0.393014401645726,-0.34,0.34,0.34,economy,center,0.0,0.393014401645726,0.0,0.231,0.769,2013,2013-01,2013Q1
Fox News,2013-01-12,Americans Fed Up With Rising Gas Prices Under Biden | Opinion,left,0.4139941653601982,0.0,0.0,0.0,politics,left,-1.0,0.4139941653601982,0.0,0.0,1.0,2013,2013-01,2013Q1
CNN,2013-01-13,Trump Administration Faces Backlash Over Immigration Policy,center,0.4040762350890018,0.0,0.0,0.0,politics,center,0.0,0.4040762350890018,0.0,0.0,1.0,2013,2013-01,2013Q1
Washington Post,2013-01-13,How Disinformation Campaigns Are Eroding Public Trust Sources Say,left,0.6924310613063298,0.5106,0.5106,0.5106,politics,left,-1.0,0.6924310613063298,0.292,0.0,0.708,2013,2013-01,2013Q1
Fox News,2013-01-13,Second Amendment Rights Under Attack by Democrats (Updated),right,0.49380812385061407,-0.4767,0.4767,0.4767,politics,right,1.0,0.49380812385061407,0.0,0.307,0.693,2013,2013-01,2013Q1
Fox News,2013-01-13,Law Enforcement Officers Demoralized by Defund Movement,left,0.4819585115429098,-0.3818,0.3818,0.3818,foreign_policy,left,-1.0,0.4819585115429098,0.0,0.302,0.698,2013,2013-01,2013Q1
Fox News,2013-01-13,Hunter Biden Laptop Scandal Media Coverup Exposed,right,0.7392577384257176,-0.4939,0.4939,0.4939,politics,right,1.0,0.7392577384257176,0.0,0.457,0.543,2013,2013-01,2013Q1
Fox News,2013-01-13,Second Amendment Rights Under Attack by Democrats Sources Say,left,0.6643074409622596,-0.4767,0.4767,0.4767,politics,left,-1.0,0.6643074409622596,0.0,0.279,0.721,2013,2013-01,2013Q1
Fox News,2013-01-14,Law Enforcement Officers Demoralized by Defund Movement Sources Say,left,0.7346028693119513,-0.3818,0.3818,0.3818,foreign_policy,left,-1.0,0.7346028693119513,0.0,0.245,0.755,2013,2013-01,2013Q1
Fox News,2013-01-14,Parents Fight Back Against Critical Race Theory in Schools as Tensions Rise,left,0.6003281992096683,-0.765,0.765,0.765,education,left,-1.0,0.6003281992096683,0.0,0.458,0.542,2013,2013-01,2013Q1
Fox News,2013-01-14,Trump Rally Draws Massive Crowds Across Nation - Report,right,0.5719937630035815,0.0,0.0,0.0,politics,right,1.0,0.5719937630035815,0.0,0.0,1.0,2013,2013-01,2013Q1
New York Times,2013-01-14,Climate Scientists Issue Urgent Warning on Tipping Points (Updated),left,0.42107431447336513,-0.1531,0.1531,0.1531,climate,left,-1.0,0.42107431447336513,0.161,0.214,0.625,2013,2013-01,2013Q1
Fox News,2013-01-14,Biden's Border Crisis Reaches New Heights Amid Growing Concerns,right,0.47784174469199453,-0.4939,0.4939,0.4939,politics,right,1.0,0.47784174469199453,0.223,0.315,0.462,2013,2013-01,2013Q1
Washington Post,2013-01-15,The Quiet Crisis: How Climate Change Is Reshaping American Cities - Report,center,0.3657061792441454,-0.6249,0.6249,0.6249,climate,center,0.0,0.3657061792441454,0.0,0.272,0.728,2013,2013-01,2013Q1
Washington Post,2013-01-15,Voting Rights Act Protections Weakened by Court Rulings,left,0.45835863666958154,-0.3182,0.3182,0.3182,social_issues,left,-1.0,0.45835863666958154,0.0,0.247,0.753,2013,2013-01,2013Q1
New York Times,2013-01-15,The Pandemic Changed How Americans Work. There's No Going Back. Sources Say,left,0.8849833625386705,-0.296,0.296,0.296,healthcare,left,-1.0,0.8849833625386705,0.0,0.167,0.833,2013,2013-01,2013Q1
Fox News,2013-01-15,Trump Rally Draws Massive Crowds Across Nation - Report,right,0.5719937630035815,0.0,0.0,0.0,politics,right,1.0,0.5719937630035815,0.0,0.0,1.0,2013,2013-01,2013Q1
Washington Post,2013-01-15,Fact Checker: Political Claims on Immigration Miss the Mark in Latest Development,left,0.4583293896262421,-0.1531,0.1531,0.1531,politics,left,-1.0,0.4583293896262421,0.0,0.127,0.873,2013,2013-01,2013Q1
New York Times,2013-01-15,The Struggle for Affordable Housing in America's Cities,left,0.4202310604593052,-0.3182,0.3182,0.3182,other,left,-1.0,0.4202310604593052,0.0,0.247,0.753,2013,2013-01,2013Q1
Fox News,2013-01-15,Democrats' Spending Spree Will Bankrupt America - Report,right,0.4645800878299823,-0.5574,0.5574,0.5574,politics,right,1.0,0.4645800878299823,0.0,0.34,0.66,2013,2013-01,2013Q1
Fox News,2013-01-15,Energy Independence Sacrificed for Green New Deal | Opinion,left,0.4291732027318844,0.2732,0.2732,0.2732,climate,left,-1.0,0.4291732027318844,0.208,0.0,0.792,2013,2013-01,2013Q1
New York Times,2013-01-16,Climate Scientists Issue Urgent Warning on Tipping Points Amid Growing Concerns,left,0.47573814608556136,0.0258,0.0258,0.0258,climate,left,-1.0,0.47573814608556136,0.252,0.173,0.576,2013,2013-01,2013Q1
Washington Post,2013-01-16,Investigation: Corporate Lobbying Undermines Environmental Rules as Tensions Rise,left,0.5909653350911178,-0.6597,0.6597,0.6597,climate,left,-1.0,0.5909653350911178,0.0,0.516,0.484,2013,2013-01,2013Q1
Washington Post,2013-01-16,Analysis: Democracy Faces Its Greatest Test in Decades in Latest Development,left,0.5323942317469458,0.6369,0.6369,0.6369,other,left,-1.0,0.5323942317469458,0.296,0.0,0.704,2013,2013-01,2013Q1
Washington Post,2013-01-16,Global Democracy in Retreat as Authoritarianism Rises Sources Say,left,0.7100980466041851,0.2023,0.2023,0.2023,other,left,-1.0,0.7100980466041851,0.184,0.0,0.816,2013,2013-01,2013Q1
CNN,2013-01-16,Economy Shows Signs of Recovery Amid Pandemic Sources Say,left,0.7090855168597548,0.0,0.0,0.0,economy,left,-1.0,0.7090855168597548,0.0,0.0,1.0,2013,2013-01,2013Q1
CNN,2013-01-16,Supreme Court Rules on Landmark Voting Rights Case,left,0.578250563785024,0.5994,0.5994,0.5994,social_issues,left,-1.0,0.578250563785024,0.45,0.0,0.55,2013,2013-01,2013Q1
New York Times,2013-01-16,Tech Giants Wield Unprecedented Power Over Public Discourse,right,0.43478996462504876,0.0,0.0,0.0,technology,right,1.0,0.43478996462504876,0.0,0.0,1.0,2013,2013-01,2013Q1
Fox News,2013-01-17,Parents Fight Back Against Critical Race Theory in Schools,left,0.6043364759036093,-0.5994,0.5994,0.5994,education,left,-1.0,0.6043364759036093,0.0,0.412,0.588,2013,2013-01,2013Q1
Fox News,2013-01-17,Energy Independence Sacrificed for Green New Deal Sources Say,left,0.6616880969405757,0.2732,0.2732,0.2732,climate,left,-1.0,0.6616880969405757,0.208,0.0,0.792,2013,2013-01,2013Q1
Fox News,2013-01-17,Inflation Surge Threatens American Families in Latest Development,right,0.3967624112887101,-0.3818,0.3818,0.3818,economy,right,1.0,0.3967624112887101,0.0,0.271,0.729,2013,2013-01,2013Q1
CNN,2013-01-18,Economy Shows Signs of Recovery Amid Pandemic | Opinion,left,0.521807308972956,0.0,0.0,0.0,economy,left,-1.0,0.521807308972956,0.0,0.0,1.0,2013,2013-01,2013Q1
New York Times,2013-01-18,How Misinformation Became a Public Health Crisis,left,0.4909180618641479,-0.7506,0.7506,0.7506,healthcare,left,-1.0,0.4909180618641479,0.0,0.561,0.439,2013,2013-01,2013Q1
Washington Post,2013-01-18,Global Democracy in Retreat as Authoritarianism Rises | Opinion,left,0.45653848966013266,0.2023,0.2023,0.2023,other,left,-1.0,0.45653848966013266,0.184,0.0,0.816,2013,2013-01,2013Q1
Fox News,2013-01-18,Hunter Biden Laptop Scandal Media Coverup Exposed as Tensions Rise,right,0.5925173881133267,-0.7096,0.7096,0.7096,politics,right,1.0,0.5925173881133267,0.0,0.496,0.504,2013,2013-01,2013Q1
New York Times,2013-01-18,The Widening Political Divide: Can America Find Common Ground? in Latest Development,right,0.4612022862652681,0.0,0.0,0.0,politics,right,1.0,0.4612022862652681,0.0,0.0,1.0,2013,2013-01,2013Q1
Washington Post,2013-01-19,Investigation: Corporate Lobbying Undermines Environmental Rules (Updated),left,0.5206983111089128,-0.4019,0.4019,0.4019,climate,left,-1.0,0.5206983111089128,0.0,0.425,0.575,2013,2013-01,2013Q1
CNN,2013-01-19,Supreme Court Rules on Landmark Voting Rights Case | Opinion,left,0.5935234641756376,0.5994,0.5994,0.5994,social_issues,left,-1.0,0.5935234641756376,0.38,0.0,0.62,2013,2013-01,2013Q1
New York Times,2013-01-19,Immigration Reform Remains Elusive Despite Bipartisan Support Sources Say,left,0.7657601022442452,-0.3089,0.3089,0.3089,politics,left,-1.0,0.7657601022442452,0.0,0.22,0.78,2013,2013-01,2013Q1
CNN,2013-01-19,Infrastructure Bill Passes After Months of Negotiations as Tensions Rise,left,0.5987046524147616,-0.4019,0.4019,0.4019,other,left,-1.0,0.5987046524147616,0.0,0.231,0.769,2013,2013-01,2013Q1
New York Times,2013-01-19,The Rise of Political Violence Threatens Democratic Norms,left,0.5488572403751986,-0.7717,0.7717,0.7717,politics,left,-1.0,0.5488572403751986,0.0,0.528,0.472,2013,2013-01,2013Q1
Washington Post,2013-01-19,Wealth Gap Between Richest and Poorest Americans Hits Record,left,0.5207362933528115,0.4767,0.4767,0.4767,other,left,-1.0,0.5207362933528115,0.41,0.217,0.373,2013,2013-01,2013Q1
New York Times,2013-01-19,Mental Health Crisis Among Young Americans Deepens,left,0.5200033468111313,-0.6249,0.6249,0.6249,healthcare,left,-1.0,0.5200033468111313,0.0,0.406,0.594,2013,2013-01,2013Q1
CNN,2013-01-19,COVID-19 Vaccine Rollout Faces Distribution Challenges,right,0.495271070632044,0.0772,0.0772,0.0772,healthcare,right,1.0,0.495271070632044,0.206,0.0,0.794,2013,2013-01,2013Q1
New York Times,2013-01-19,Climate Scientists Issue Urgent Warning on Tipping Points as Tensions Rise,left,0.4519356735695822,-0.5106,0.5106,0.5106,climate,left,-1.0,0.4519356735695822,0.121,0.342,0.537,2013,2013-01,2013Q1
Fox News,2013-01-19,Small Business Owners Crushed by New Regulations,right,0.3857856400708445,-0.4215,0.4215,0.4215,economy,right,1.0,0.3857856400708445,0.0,0.318,0.682,2013,2013-01,2013Q1
Fox News,2013-01-20,Democrats' Spending Spree Will Bankrupt America as Tensions Rise,left,0.43603694179412716,-0.743,0.743,0.743,politics,left,-1.0,0.43603694179412716,0.0,0.474,0.526,2013,2013-01,2013Q1
CNN,2013-01-20,Economy Shows Signs of Recovery Amid Pandemic | Opinion,left,0.521807308972956,0.0,0.0,0.0,economy,left,-1.0,0.521807308972956,0.0,0.0,1.0,2013,2013-01,2013Q1
CNN,2013-01-20,Deadly Shooting Highlights Gun Control Debate Sources Say,left,0.7826244839125265,-0.34,0.34,0.34,crime,left,-1.0,0.7826244839125265,0.0,0.255,0.745,2013,2013-01,2013Q1
Washington Post,2013-01-20,How Disinformation Campaigns Are Eroding Public Trust,left,0.4550023018926486,0.5106,0.5106,0.5106,politics,left,-1.0,0.4550023018926486,0.355,0.0,0.645,2013,2013-01,2013Q1
Fox News,2013-01-21,Biden's Border Crisis Reaches New Heights | Opinion,right,0.5406306942623446,-0.5994,0.5994,0.5994,politics,right,1.0,0.5406306942623446,0.106,0.363,0.531,2013,2013-01,2013Q1
New York Times,2013-01-21,Climate Scientists Issue Urgent Warning on Tipping Points | Opinion,left,0.45314025388536433,-0.1531,0.1531,0.1531,climate,left,-1.0,0.45314025388536433,0.148,0.197,0.656,2013,2013-01,2013Q1
New York Times,2013-01-21,The Struggle for Affordable Housing in America's Cities | Opinion,left,0.4632191271556752,-0.3182,0.3182,0.3182,other,left,-1.0,0.4632191271556752,0.0,0.204,0.796,2013,2013-01,2013Q1
CNN,2013-01-21,Deadly Shooting Highlights Gun Control Debate Amid Growing Concerns,left,0.580932387851266,-0.1779,0.1779,0.1779,crime,left,-1.0,0.580932387851266,0.153,0.216,0.631,2013,2013-01,2013Q1
CNN,2013-01-21,Democrats Push for Expanded Social Safety Net (Updated),left,0.4706661252820884,0.4215,0.4215,0.4215,politics,left,-1.0,0.4706661252820884,0.286,0.0,0.714,2013,2013-01,2013Q1
Fox News,2013-01-22,Religious Liberty Under Siege From Radical Left Amid Growing Concerns,right,0.6036378711896139,0.6249,0.6249,0.6249,foreign_policy,right,1.0,0.6036378711896139,0.389,0.0,0.611,2013,2013-01,2013Q1
